airport,side,period,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,days,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
FLL,arr,pre_20250101_0414,27836,27456,380.0,6274.0,152828.0,104,267.65384615384613,0.013651386693490444,0.22851107226107226,5.490300330507257
FLL,arr,stress_20250415_0519,8362,8309,53.0,1738.0,39565.0,35,238.9142857142857,0.006338196603683329,0.20917077867372727,4.731523558957187
FLL,dep,cap_20250616_1025,27779,27510,269.0,6713.0,143411.0,132,210.4469696969697,0.009683573922747398,0.24402035623409668,5.162568846970733
FLL,dep,extension_20251026_1231,17811,17421,390.0,5316.0,87325.0,67,265.8358208955224,0.021896580764695976,0.3051489581539521,4.902869013530964
FLL,dep,interim_20250520_0615,5775,5752,23.0,1335.0,32517.0,27,213.88888888888889,0.003982683982683983,0.2320931849791377,5.6306493506493505
FLL,dep,pre_20250101_0414,27849,27483,366.0,6475.0,114367.0,104,267.77884615384613,0.01314230313476247,0.23560018920787396,4.106682466156774
FLL,dep,stress_20250415_0519,8371,8327,44.0,1764.0,50080.0,35,239.17142857142858,0.005256241787122208,0.2118409991593611,5.982558834070003
HNL,arr,cap_20250616_1025,20878,20762,116.0,3245.0,10873.0,132,158.16666666666666,0.0055560877478685695,0.15629515460938254,0.5207874317463359
HNL,arr,extension_20251026_1231,10571,10446,125.0,2051.0,9653.0,67,157.77611940298507,0.011824803708258443,0.19634309783649243,0.91315864156655
HNL,arr,interim_20250520_0615,4397,4376,21.0,701.0,2700.0,27,162.85185185185185,0.0047759836251989995,0.16019195612431444,0.6140550375255857
HNL,arr,pre_20250101_0414,17513,17312,201.0,2466.0,13381.0,104,168.39423076923077,0.011477188374350482,0.14244454713493532,0.7640609832695712
HNL,arr,stress_20250415_0519,5525,5515,10.0,611.0,1903.0,35,157.85714285714286,0.0018099547511312218,0.11078875793291025,0.34443438914027147
HNL,dep,cap_20250616_1025,20871,20767,104.0,2487.0,5342.0,132,158.11363636363637,0.004982990752719084,0.11975730726633602,0.25595323654832064
HNL,dep,extension_20251026_1231,10571,10447,124.0,1744.0,7257.0,67,157.77611940298507,0.011730205278592375,0.16693787690246004,0.6865008040866521
HNL,dep,interim_20250520_0615,4394,4377,17.0,549.0,957.0,27,162.74074074074073,0.0038689121529358215,0.12542837559972583,0.2177969959035048
HNL,dep,pre_20250101_0414,17512,17306,206.0,2132.0,9188.0,104,168.3846153846154,0.011763362265874829,0.12319426788397088,0.5246687985381453
HNL,dep,stress_20250415_0519,5525,5517,8.0,557.0,3169.0,35,157.85714285714286,0.0014479638009049773,0.10096066702918252,0.5735746606334842
HOU,arr,cap_20250616_1025,20617,20534,83.0,4372.0,40678.0,132,156.18939393939394,0.004025803948198089,0.21291516509204247,1.9730319639132754
HOU,arr,extension_20251026_1231,10119,9992,127.0,2151.0,25208.0,67,151.02985074626866,0.012550647297163752,0.21527221777421937,2.491155252495306
HOU,arr,interim_20250520_0615,4249,4188,61.0,1113.0,16563.0,27,157.37037037037038,0.014356319133913862,0.26575931232091693,3.8980936690986114
HOU,arr,pre_20250101_0414,14858,14522,336.0,2379.0,26014.0,104,142.8653846153846,0.022614079956925562,0.16382041041178902,1.7508412976174452
HOU,arr,stress_20250415_0519,5400,5346,54.0,1089.0,15623.0,35,154.28571428571428,0.01,0.2037037037037037,2.893148148148148
HOU,dep,cap_20250616_1025,20622,20541,81.0,5164.0,40670.0,132,156.22727272727272,0.003927844050043643,0.2513996397449004,1.9721656483367278
HOU,dep,extension_20251026_1231,10123,9999,124.0,2388.0,18893.0,67,151.08955223880596,0.012249333201620072,0.23882388238823882,1.866343969179097
HOU,dep,interim_20250520_0615,4249,4177,72.0,1319.0,15704.0,27,157.37037037037038,0.016945163567898328,0.3157768733540819,3.6959284537538246
HOU,dep,pre_20250101_0414,14861,14542,319.0,2688.0,24912.0,104,142.89423076923077,0.02146558105107328,0.18484390042635127,1.676334028665635
HOU,dep,stress_20250415_0519,5400,5348,52.0,1351.0,19088.0,35,154.28571428571428,0.00962962962962963,0.2526178010471204,3.5348148148148146
