airport,side,period,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,days,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
CMH,dep,cap_20250616_1025,16669,16382,287.0,3220.0,68820.0,132,126.28030303030303,0.017217589537464755,0.19655719692345258,4.128621992920991
CMH,dep,extension_20251026_1231,7969,7824,145.0,1741.0,46436.0,67,118.94029850746269,0.018195507591918684,0.22252044989775052,5.827079934747145
CMH,dep,interim_20250520_0615,3422,3394,28.0,643.0,15170.0,27,126.74074074074075,0.008182349503214495,0.18945197407189157,4.433080070134424
CMH,dep,pre_20250101_0414,11925,11760,165.0,1890.0,42994.0,104,114.66346153846153,0.013836477987421384,0.16071428571428573,3.6053668763102724
CMH,dep,stress_20250415_0519,4418,4366,52.0,789.0,20186.0,35,126.22857142857143,0.011770031688546853,0.18071461291800275,4.569035762788592
CVG,arr,cap_20250616_1025,12499,12319,180.0,3059.0,30945.0,132,94.68939393939394,0.014401152092167373,0.24831561003328192,2.4757980638451076
CVG,arr,extension_20251026_1231,5977,5863,114.0,1563.0,17041.0,67,89.2089552238806,0.019073113602141544,0.26658707146512023,2.851095867492053
CVG,arr,interim_20250520_0615,2648,2638,10.0,703.0,6575.0,27,98.07407407407408,0.0037764350453172208,0.26648976497346477,2.4830060422960725
CVG,arr,pre_20250101_0414,9052,8850,202.0,2121.0,25417.0,104,87.03846153846153,0.022315510384445427,0.23966101694915254,2.807887759611136
CVG,arr,stress_20250415_0519,3318,3283,35.0,764.0,8931.0,35,94.8,0.010548523206751054,0.232713981114834,2.6916817359855334
CVG,dep,cap_20250616_1025,12501,12327,174.0,2444.0,50753.0,132,94.70454545454545,0.013918886489080873,0.1982639733917417,4.059915206783457
CVG,dep,extension_20251026_1231,5977,5852,125.0,1244.0,36271.0,67,89.2089552238806,0.02091350175673415,0.21257689678742311,6.0684289777480345
CVG,dep,interim_20250520_0615,2648,2632,16.0,593.0,11397.0,27,98.07407407407408,0.006042296072507553,0.22530395136778114,4.304003021148036
CVG,dep,pre_20250101_0414,9048,8843,205.0,1600.0,39606.0,104,87.0,0.022656940760389037,0.18093407214746127,4.377320954907161
CVG,dep,stress_20250415_0519,3315,3289,26.0,583.0,12656.0,35,94.71428571428571,0.00784313725490196,0.17725752508361203,3.817797888386124
DAL,arr,cap_20250616_1025,25610,25421,189.0,5406.0,64089.0,132,194.0151515151515,0.0073799297149550955,0.21265882538059086,2.502499023818821
DAL,arr,extension_20251026_1231,13055,12853,202.0,2728.0,28722.0,67,194.8507462686567,0.015472998851014937,0.21224616820975648,2.200076599004213
DAL,arr,interim_20250520_0615,5470,5408,62.0,1455.0,22674.0,27,202.59259259259258,0.0113345521023766,0.26904585798816566,4.145155393053017
DAL,arr,pre_20250101_0414,20181,19740,441.0,3206.0,33101.0,104,194.04807692307693,0.021852237252861603,0.1624113475177305,1.6402061344829295
DAL,arr,stress_20250415_0519,7046,6864,182.0,1570.0,31212.0,35,201.31428571428572,0.025830258302583026,0.22872960372960374,4.429747374396821
DAL,dep,cap_20250616_1025,25615,25437,178.0,7301.0,65536.0,132,194.0530303030303,0.006949053289088424,0.2870228407437984,2.5585008783915675
DAL,dep,extension_20251026_1231,13055,12864,191.0,3632.0,28449.0,67,194.8507462686567,0.01463040980467254,0.28233830845771146,2.179165070854079
DAL,dep,interim_20250520_0615,5470,5407,63.0,1913.0,21615.0,27,202.59259259259258,0.011517367458866544,0.3538006288144997,3.9515539305301646
DAL,dep,pre_20250101_0414,20182,19735,447.0,4174.0,36935.0,104,194.05769230769232,0.022148449113071053,0.21150240689130986,1.8300961252601329
DAL,dep,stress_20250415_0519,7044,6872,172.0,2089.0,22339.0,35,201.25714285714287,0.02441794434980125,0.3039871944121071,3.171351504826803
DCA,arr,cap_20250616_1025,51949,49951,1998.0,13431.0,283794.0,132,393.5530303030303,0.03846079809043485,0.268883505835719,5.462934801439873
