airport,side,period,days,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,weather_delay_minutes,ops_per_day,cancel_rate,delay15_rate,nas_delay_per_scheduled_op,weather_delay_per_scheduled_op
LGA,dep,pre_20250101_0414,104,37380,36618,762.0,6558.0,165967.0,12450.0,359.4230769230769,0.020385232744783308,0.17909224971325577,4.439994649545211,0.3330658105939005
LGA,dep,stress_20250415_0519,35,13091,12875,216.0,2755.0,72908.0,6713.0,374.0285714285714,0.01649988541746238,0.21398058252427185,5.569322435260866,0.5127950500343748
LGA,dep,interim_20250520_0615,27,9989,9901,88.0,1969.0,61655.0,5663.0,369.962962962963,0.008809690659725698,0.19886880113119887,6.1722895184703175,0.5669236159775753
LGA,dep,cap_20250616_1025,132,49855,47986,1869.0,11131.0,308767.0,65513.0,377.68939393939394,0.03748871728011233,0.23196348935106073,6.193300571657808,1.3140708053354728
LGA,dep,extension_20251026_1231,67,25410,24222,1188.0,7004.0,209496.0,17137.0,379.25373134328356,0.046753246753246755,0.289158616134093,8.244628099173553,0.6744195198740653
ORD,arr,pre_20250101_0414,104,78399,77129,1270.0,16280.0,347257.0,90092.0,753.8365384615385,0.016199186214109873,0.21107495235255222,4.429354966262324,1.1491473105524306
ORD,arr,stress_20250415_0519,35,31067,30899,168.0,5875.0,87069.0,23593.0,887.6285714285714,0.005407667299707084,0.19013560309395125,2.8026201435606914,0.759423182154698
ORD,arr,interim_20250520_0615,27,25522,25408,114.0,5920.0,109225.0,33844.0,945.2592592592592,0.0044667345819293155,0.23299748110831234,4.279641093958154,1.3260716244808401
ORD,arr,cap_20250616_1025,132,129777,127718,2059.0,35156.0,781346.0,226643.0,983.1590909090909,0.01586567727717546,0.27526268810974175,6.020681630797445,1.746403445911063
ORD,arr,extension_20251026_1231,67,62246,59832,2414.0,18016.0,548383.0,98173.0,929.044776119403,0.038781608456768306,0.3011097740339618,8.80993156186743,1.5771776499694758
ORD,dep,pre_20250101_0414,104,78402,77239,1163.0,16350.0,293470.0,108143.0,753.8653846153846,0.014833805260069896,0.21168062766219137,3.743144307543175,1.3793398127598786
ORD,dep,stress_20250415_0519,35,31057,30905,152.0,5507.0,113391.0,26194.0,887.3428571428572,0.0048942267443732495,0.17819123119236369,3.6510609524422835,0.8434169430402164
ORD,dep,interim_20250520_0615,27,25525,25440,85.0,5667.0,80728.0,20496.0,945.3703703703703,0.0033300685602350635,0.22275943396226416,3.1627032321253674,0.802977473065622
ORD,dep,cap_20250616_1025,132,129787,127868,1919.0,35641.0,489393.0,212689.0,983.2348484848485,0.014785764367771811,0.27873275565426847,3.7707397505143043,1.6387542666060546
ORD,dep,extension_20251026_1231,67,62257,59920,2337.0,17559.0,381713.0,192369.0,929.2089552238806,0.03753794754003566,0.2930407209612817,6.131246285558251,3.089917599627351
PHL,arr,pre_20250101_0414,104,24713,24143,570.0,5214.0,64806.0,14363.0,237.625,0.023064783717071987,0.2159632191525494,2.622344515032574,0.5811920851373771
PHL,arr,stress_20250415_0519,35,10070,9904,166.0,2527.0,42784.0,7597.0,287.7142857142857,0.016484607745779544,0.25514943457189015,4.248659384309831,0.7544190665342602
PHL,arr,interim_20250520_0615,27,7750,7683,67.0,2024.0,26112.0,10935.0,287.037037037037,0.00864516129032258,0.26343876090068985,3.369290322580645,1.4109677419354838
PHL,arr,cap_20250616_1025,132,38235,37349,886.0,9655.0,161753.0,49818.0,289.65909090909093,0.023172485942199554,0.25850759056467376,4.230495619197071,1.3029423303256178
PHL,arr,extension_20251026_1231,67,16742,16397,345.0,3932.0,38373.0,8789.0,249.88059701492537,0.020606857006331383,0.23979996340794046,2.2920200692868233,0.5249671484888305
PHL,dep,pre_20250101_0414,104,24706,24139,567.0,4692.0,113097.0,19773.0,237.55769230769232,0.02294989071480612,0.19437424914039522,4.577713915648021,0.8003319031814135
PHL,dep,stress_20250415_0519,35,10072,9905,167.0,2297.0,48068.0,8420.0,287.77142857142854,0.01658061953931692,0.23190307925290257,4.7724384432088955,0.8359809372517871
PHL,dep,interim_20250520_0615,27,7752,7690,62.0,1807.0,43852.0,4959.0,287.1111111111111,0.007997936016511867,0.23498049414824448,5.6568627450980395,0.6397058823529411
PHL,dep,cap_20250616_1025,132,38250,37357,893.0,9976.0,165852.0,44855.0,289.77272727272725,0.02334640522875817,0.2670449982600316,4.336,1.1726797385620915
PHL,dep,extension_20251026_1231,67,16739,16389,350.0,4050.0,90692.0,15036.0,249.83582089552237,0.020909253838341597,0.2471169686985173,5.418005854591074,0.898261544895155
