airport,side,period,hour_group,hours,avg_ops_per_hour,p90_ops_per_hour,p95_ops_per_hour,max_ops_per_hour,share_above_28,share_above_34,scheduled_ops,operated_ops,cancelled_ops,delay15_ops,nas_delay_minutes,cancel_rate,delay15_rate,nas_delay_per_scheduled_op
LGA,dep,late_interim,Other hours,91,0.43956043956043955,3.0,3.0,4,0.0,0.0,40,40.0,0.0,4.0,0.0,0.0,0.1,0.0
LGA,dep,reference,Facilitated hours,476,21.701680672268907,28.0,32.0,36,0.09243697478991597,0.03991596638655462,10330,10210.0,120.0,1877.0,47399.0,0.011616650532429816,0.18383937316356513,4.588480154888674
LGA,dep,reference,Other hours,196,0.10714285714285714,0.0,1.0,2,0.0,0.0,21,21.0,0.0,1.0,0.0,0.0,0.047619047619047616,0.0
LGA,dep,stress,Facilitated hours,595,21.847058823529412,30.0,31.0,35,0.16302521008403362,0.01680672268907563,12999,12784.0,215.0,2751.0,72834.0,0.016539733825678898,0.21519086357947434,5.6030463881837065
LGA,dep,stress,Other hours,245,0.37551020408163266,2.0,2.0,6,0.0,0.0,92,91.0,1.0,4.0,74.0,0.010869565217391304,0.04395604395604396,0.8043478260869565
MCI,arr,early_interim,Facilitated hours,238,7.466386554621849,12.0,13.0,15,0.0,0.0,1777,1767.0,10.0,373.0,2639.0,0.005627462014631401,0.211092246745897,1.4850872256612269
MCI,arr,early_interim,Other hours,98,2.0918367346938775,12.0,13.0,13,0.0,0.0,205,205.0,0.0,67.0,488.0,0.0,0.32682926829268294,2.3804878048780487
MCI,arr,late_interim,Facilitated hours,221,7.375565610859729,11.0,12.0,15,0.0,0.0,1630,1617.0,13.0,493.0,6374.0,0.007975460122699387,0.3048855905998763,3.910429447852761
MCI,arr,late_interim,Other hours,91,2.9450549450549453,16.0,17.0,20,0.0,0.0,268,259.0,9.0,123.0,405.0,0.033582089552238806,0.4749034749034749,1.5111940298507462
MCI,arr,reference,Facilitated hours,476,6.7478991596638656,11.0,12.0,14,0.0,0.0,3212,3190.0,22.0,653.0,6062.0,0.00684931506849315,0.20470219435736678,1.8872976338729763
MCI,arr,reference,Other hours,196,2.4030612244897958,10.5,11.0,13,0.0,0.0,471,461.0,10.0,133.0,1260.0,0.021231422505307854,0.2885032537960954,2.6751592356687897
MCI,arr,stress,Facilitated hours,595,7.245378151260504,12.0,12.299999999999955,15,0.0,0.0,4311,4272.0,39.0,868.0,8274.0,0.009046624913013222,0.20318352059925093,1.919276270006959
MCI,arr,stress,Other hours,245,1.9877551020408164,12.0,12.0,12,0.0,0.0,487,486.0,1.0,154.0,1269.0,0.002053388090349076,0.3168724279835391,2.6057494866529773
MCI,dep,early_interim,Facilitated hours,238,7.773109243697479,13.0,14.0,18,0.0,0.0,1850,1841.0,9.0,356.0,7301.0,0.004864864864864865,0.19337316675719718,3.9464864864864864
MCI,dep,early_interim,Other hours,98,1.3571428571428572,8.0,12.0,12,0.0,0.0,133,130.0,3.0,9.0,124.0,0.022556390977443608,0.06923076923076923,0.9323308270676691
MCI,dep,late_interim,Facilitated hours,221,7.8144796380090495,13.0,14.0,18,0.0,0.0,1727,1714.0,13.0,480.0,8216.0,0.007527504342790967,0.28004667444574094,4.757382744643891
MCI,dep,late_interim,Other hours,91,1.879120879120879,13.0,14.0,15,0.0,0.0,171,165.0,6.0,12.0,188.0,0.03508771929824561,0.07272727272727272,1.0994152046783625
MCI,dep,reference,Facilitated hours,476,7.2710084033613445,12.0,14.0,17,0.0,0.0,3461,3430.0,31.0,621.0,11319.0,0.008956948858711355,0.18104956268221575,3.2704420687662523
MCI,dep,reference,Other hours,196,1.1326530612244898,7.0,8.0,12,0.0,0.0,222,217.0,5.0,14.0,896.0,0.02252252252252252,0.06451612903225806,4.036036036036036
MCI,dep,stress,Facilitated hours,595,7.507563025210084,13.0,14.0,19,0.0,0.0,4467,4434.0,33.0,830.0,16178.0,0.007387508394895903,0.18718989625620208,3.621670024625028
MCI,dep,stress,Other hours,245,1.3510204081632653,8.0,12.0,12,0.0,0.0,331,330.0,1.0,12.0,497.0,0.0030211480362537764,0.03636363636363636,1.501510574018127
MCO,arr,early_interim,Facilitated hours,238,22.567226890756302,30.0,31.0,35,0.20588235294117646,0.008403361344537815,5371,5342.0,29.0,1315.0,34788.0,0.0053993669707689445,0.24616248596031448,6.477006144107243
MCO,arr,early_interim,Other hours,98,6.8979591836734695,18.299999999999997,27.0,30,0.01020408163265306,0.0,676,671.0,5.0,208.0,2932.0,0.0073964497041420114,0.30998509687034276,4.337278106508876
MCO,arr,late_interim,Facilitated hours,221,22.488687782805428,31.0,32.0,37,0.17647058823529413,0.013574660633484163,4970,4944.0,26.0,1377.0,31551.0,0.005231388329979879,0.27851941747572817,6.348289738430584
MCO,arr,late_interim,Other hours,91,7.450549450549451,23.0,28.5,33,0.054945054945054944,0.0,678,671.0,7.0,236.0,1635.0,0.01032448377581121,0.35171385991058124,2.411504424778761
MCO,arr,reference,Facilitated hours,476,24.983193277310924,32.0,33.0,40,0.31092436974789917,0.02100840336134454,11892,11789.0,103.0,2440.0,62295.0,0.008661284897410023,0.20697260157774197,5.238395560040363
MCO,arr,reference,Other hours,196,9.03061224489796,27.5,34.25,39,0.09693877551020408,0.05102040816326531,1770,1750.0,20.0,495.0,6618.0,0.011299435028248588,0.28285714285714286,3.7389830508474575
MCO,arr,stress,Facilitated hours,595,23.618487394957985,31.0,33.0,41,0.2453781512605042,0.02689075630252101,14053,13978.0,75.0,2911.0,57935.0,0.005336938731943357,0.20825583059092861,4.122607272468512
MCO,arr,stress,Other hours,245,7.220408163265306,23.19999999999999,28.799999999999983,36,0.053061224489795916,0.00816326530612245,1769,1757.0,12.0,505.0,6792.0,0.006783493499152063,0.28742174160500855,3.8394573205200677
MCO,dep,early_interim,Facilitated hours,238,24.95378151260504,34.0,35.0,39,0.3235294117647059,0.07563025210084033,5939,5911.0,28.0,1667.0,33706.0,0.00471459841724196,0.28201657925900864,5.6753662232699105
MCO,dep,early_interim,Other hours,98,1.1326530612244898,3.299999999999997,7.1499999999999915,9,0.0,0.0,111,110.0,1.0,11.0,88.0,0.009009009009009009,0.1,0.7927927927927928
MCO,dep,late_interim,Facilitated hours,221,24.968325791855204,34.0,36.0,42,0.33031674208144796,0.08144796380090498,5518,5489.0,29.0,1464.0,37079.0,0.005255527364987314,0.2667152486791765,6.719644798840159
MCO,dep,late_interim,Other hours,91,1.3956043956043955,5.0,8.5,12,0.0,0.0,127,127.0,0.0,12.0,25.0,0.0,0.09448818897637795,0.1968503937007874
MCO,dep,reference,Facilitated hours,476,27.865546218487395,37.0,39.0,44,0.5294117647058824,0.18067226890756302,13264,13154.0,110.0,2723.0,46749.0,0.008293124246079614,0.20700927474532463,3.5245024125452353
MCO,dep,reference,Other hours,196,2.061224489795918,10.0,12.0,15,0.0,0.0,404,402.0,2.0,42.0,280.0,0.0049504950495049506,0.1044776119402985,0.693069306930693
MCO,dep,stress,Facilitated hours,595,26.100840336134453,35.0,37.0,40,0.38487394957983195,0.12436974789915967,15530,15456.0,74.0,3571.0,91870.0,0.004764971023824855,0.2310429606625259,5.9156471345782355
MCO,dep,stress,Other hours,245,1.2285714285714286,5.0,7.799999999999983,12,0.0,0.0,301,299.0,2.0,36.0,148.0,0.006644518272425249,0.12040133779264214,0.49169435215946844
MDW,arr,early_interim,Facilitated hours,238,11.004201680672269,19.0,23.0,28,0.0,0.0,2619,2608.0,11.0,467.0,4948.0,0.004200076365024819,0.1790644171779141,1.889270714012982
MDW,arr,early_interim,Other hours,98,1.3979591836734695,5.0,7.0,7,0.0,0.0,137,137.0,0.0,40.0,111.0,0.0,0.291970802919708,0.8102189781021898
MDW,arr,late_interim,Facilitated hours,221,13.135746606334841,21.0,25.0,28,0.0,0.0,2903,2887.0,16.0,632.0,6420.0,0.005511539786427834,0.21891236577762382,2.211505339304168
MDW,arr,late_interim,Other hours,91,1.901098901098901,6.0,7.0,8,0.0,0.0,173,167.0,6.0,67.0,155.0,0.03468208092485549,0.40119760479041916,0.8959537572254336
MDW,arr,reference,Facilitated hours,476,10.907563025210084,18.0,20.0,28,0.0,0.0,5192,5123.0,69.0,850.0,10400.0,0.013289676425269646,0.16591840718329104,2.0030816640986133
MDW,arr,reference,Other hours,196,2.413265306122449,7.0,10.0,11,0.0,0.0,473,470.0,3.0,122.0,739.0,0.006342494714587738,0.25957446808510637,1.562367864693446
MDW,arr,stress,Facilitated hours,595,11.085714285714285,19.0,22.299999999999955,29,0.0016806722689075631,0.0,6596,6579.0,17.0,1089.0,9041.0,0.002577319587628866,0.16552667578659372,1.3706791995148575
MDW,arr,stress,Other hours,245,1.6693877551020408,6.0,7.0,8,0.0,0.0,409,407.0,2.0,107.0,511.0,0.004889975550122249,0.2628992628992629,1.2493887530562346
MDW,dep,early_interim,Facilitated hours,238,11.159663865546218,20.0,23.149999999999977,31,0.004201680672268907,0.0,2656,2646.0,10.0,564.0,5402.0,0.0037650602409638554,0.21315192743764172,2.0338855421686746
MDW,dep,early_interim,Other hours,98,1.0204081632653061,4.0,12.0,12,0.0,0.0,100,100.0,0.0,6.0,23.0,0.0,0.06,0.23
MDW,dep,late_interim,Facilitated hours,221,13.429864253393665,23.0,25.0,29,0.01809954751131222,0.0,2968,2948.0,20.0,929.0,7444.0,0.006738544474393531,0.31512890094979645,2.5080862533692723
MDW,dep,late_interim,Other hours,91,1.2087912087912087,8.0,10.0,10,0.0,0.0,110,107.0,3.0,1.0,34.0,0.02727272727272727,0.009345794392523364,0.3090909090909091
MDW,dep,reference,Facilitated hours,476,11.445378151260504,19.5,23.0,27,0.0,0.0,5448,5389.0,59.0,1167.0,14853.0,0.010829662261380322,0.2165522360363704,2.726321585903084
MDW,dep,reference,Other hours,196,1.1020408163265305,5.0,9.25,13,0.0,0.0,216,213.0,3.0,19.0,558.0,0.013888888888888888,0.0892018779342723,2.5833333333333335
MDW,dep,stress,Facilitated hours,595,11.341176470588236,19.0,23.0,27,0.0,0.0,6748,6734.0,14.0,1456.0,18795.0,0.002074688796680498,0.21621621621621623,2.7852697095435683
MDW,dep,stress,Other hours,245,1.0612244897959184,4.0,12.0,13,0.0,0.0,260,260.0,0.0,9.0,124.0,0.0,0.03461538461538462,0.47692307692307695
MIA,arr,early_interim,Facilitated hours,238,16.668067226890756,26.0,29.0,33,0.058823529411764705,0.0,3967,3909.0,58.0,832.0,15437.0,0.014620620115956643,0.21284215911997953,3.8913536677590117
MIA,arr,early_interim,Other hours,98,2.520408163265306,7.299999999999997,8.0,13,0.0,0.0,247,238.0,9.0,58.0,693.0,0.03643724696356275,0.24369747899159663,2.805668016194332
MIA,arr,late_interim,Facilitated hours,221,16.063348416289593,25.0,27.0,31,0.013574660633484163,0.0,3550,3525.0,25.0,845.0,12539.0,0.007042253521126761,0.2397163120567376,3.532112676056338
MIA,arr,late_interim,Other hours,91,2.934065934065934,9.0,12.0,14,0.0,0.0,267,264.0,3.0,100.0,694.0,0.011235955056179775,0.3787878787878788,2.599250936329588
MIA,arr,reference,Facilitated hours,476,19.107142857142858,31.0,33.0,40,0.1323529411764706,0.031512605042016806,9095,8964.0,131.0,2115.0,48350.0,0.01440351841671248,0.2359437751004016,5.31610775151182
MIA,arr,reference,Other hours,196,2.9285714285714284,9.0,10.0,13,0.0,0.0,574,557.0,17.0,154.0,1557.0,0.029616724738675958,0.2764811490125673,2.7125435540069684
MIA,arr,stress,Facilitated hours,595,17.369747899159663,28.0,31.0,37,0.09243697478991597,0.013445378151260505,10335,10271.0,64.0,2016.0,33689.0,0.006192549588776004,0.19628079057540648,3.2597000483792935
MIA,arr,stress,Other hours,245,2.804081632653061,8.0,10.0,14,0.0,0.0,687,677.0,10.0,194.0,1641.0,0.01455604075691412,0.2865583456425406,2.388646288209607
MIA,dep,early_interim,Facilitated hours,238,17.571428571428573,26.0,28.0,31,0.04201680672268908,0.0,4182,4108.0,74.0,1087.0,22795.0,0.017694882831181254,0.2646056475170399,5.450741272118604
MIA,dep,early_interim,Other hours,98,0.3469387755102041,2.0,2.0,4,0.0,0.0,34,34.0,0.0,2.0,3.0,0.0,0.058823529411764705,0.08823529411764706
MIA,dep,late_interim,Facilitated hours,221,16.968325791855204,25.0,28.0,35,0.04524886877828054,0.004524886877828055,3750,3732.0,18.0,976.0,17361.0,0.0048,0.2615219721329046,4.6296
MIA,dep,late_interim,Other hours,91,0.7032967032967034,3.0,4.0,6,0.0,0.0,64,64.0,0.0,11.0,100.0,0.0,0.171875,1.5625
MIA,dep,reference,Facilitated hours,476,20.142857142857142,32.0,33.0,39,0.15126050420168066,0.02100840336134454,9588,9435.0,153.0,2585.0,43144.0,0.015957446808510637,0.27397986221515636,4.499791405924071
MIA,dep,reference,Other hours,196,0.4642857142857143,2.0,4.0,6,0.0,0.0,91,90.0,1.0,2.0,1.0,0.01098901098901099,0.022222222222222223,0.01098901098901099
MIA,dep,stress,Facilitated hours,595,18.31596638655462,28.0,29.299999999999955,34,0.08067226890756303,0.0,10898,10828.0,70.0,2404.0,56946.0,0.00642319691686548,0.22201699298115996,5.225362451826023
MIA,dep,stress,Other hours,245,0.4326530612244898,2.0,3.799999999999983,6,0.0,0.0,106,105.0,1.0,5.0,108.0,0.009433962264150943,0.047619047619047616,1.0188679245283019
MSP,arr,early_interim,Facilitated hours,238,17.915966386554622,30.0,39.0,42,0.12184873949579832,0.058823529411764705,4264,4259.0,5.0,675.0,9070.0,0.0011726078799249532,0.15848790795961493,2.127110694183865
MSP,arr,early_interim,Other hours,98,2.622448979591837,9.0,11.0,12,0.0,0.0,257,256.0,1.0,64.0,175.0,0.0038910505836575876,0.25,0.6809338521400778
MSP,arr,late_interim,Facilitated hours,221,18.85972850678733,30.0,33.0,44,0.14027149321266968,0.04524886877828054,4168,4155.0,13.0,684.0,6285.0,0.0031190019193857964,0.16462093862815885,1.5079174664107486
MSP,arr,late_interim,Other hours,91,3.3516483516483517,12.0,12.5,16,0.0,0.0,305,300.0,5.0,105.0,351.0,0.01639344262295082,0.35,1.1508196721311474
MSP,arr,reference,Facilitated hours,476,16.850840336134453,25.0,33.0,39,0.06932773109243698,0.031512605042016806,8021,7976.0,45.0,1391.0,14328.0,0.00561027303328762,0.17439819458375125,1.7863109337987781
MSP,arr,reference,Other hours,196,3.4081632653061225,13.0,16.0,17,0.0,0.0,668,663.0,5.0,188.0,1282.0,0.0074850299401197605,0.28355957767722473,1.9191616766467066
