month,side,counterpart,carrier,carrier_group,departures_performed,seats,passengers,distance
1,dep,IAD,G7,Other carriers,33.0,1650.0,1349.0,212.0
1,dep,IAD,UA,United,118.0,19178.0,12962.0,212.0
1,dep,IAD,YX,Other carriers,2.0,146.0,26.0,212.0
1,dep,IAH,NK,Other carriers,28.0,4928.0,3692.0,1400.0
1,dep,IAH,UA,United,300.0,54622.0,44796.0,1400.0
1,dep,ILM,G7,Other carriers,48.0,2400.0,1999.0,488.0
1,dep,ILM,YX,Other carriers,10.0,742.0,693.0,488.0
1,dep,IND,B6,Other carriers,1.0,100.0,34.0,645.0
1,dep,IND,DL,Other carriers,1.0,72.0,67.0,645.0
1,dep,IND,FX,Other carriers,47.0,0.0,0.0,645.0
1,dep,IND,MX,Other carriers,2.0,216.0,85.0,645.0
1,dep,IND,NK,Other carriers,30.0,6499.0,4154.0,645.0
1,dep,IND,YX,Other carriers,141.0,10458.0,8639.0,645.0
1,dep,ITH,G7,Other carriers,58.0,2900.0,2425.0,172.0
1,dep,ITO,UA,United,1.0,231.0,112.0,4881.0
1,dep,JAC,UA,United,58.0,7308.0,4273.0,1874.0
1,dep,JAX,DL,Other carriers,1.0,157.0,134.0,820.0
1,dep,JAX,UA,United,61.0,8977.0,7652.0,820.0
1,dep,JAX,YX,Other carriers,57.0,4158.0,3913.0,820.0
1,dep,LAF,MX,Other carriers,1.0,137.0,49.0,672.0
1,dep,LAS,NK,Other carriers,50.0,9129.0,7911.0,2227.0
1,dep,LAS,UA,United,224.0,39007.0,29409.0,2227.0
1,dep,LAX,AS,Other carriers,40.0,7063.0,5882.0,2454.0
1,dep,LAX,FX,Other carriers,12.0,0.0,0.0,2454.0
1,dep,LAX,NK,Other carriers,52.0,9576.0,7871.0,2454.0
1,dep,LAX,UA,United,251.0,57993.0,45699.0,2454.0
1,dep,LNK,MX,Other carriers,2.0,245.0,130.0,1182.0
1,dep,MCO,B6,Other carriers,139.0,21726.0,18179.0,937.0
1,dep,MCO,DL,Other carriers,2.0,144.0,48.0,937.0
1,dep,MCO,M6,Other carriers,19.0,0.0,0.0,937.0
1,dep,MCO,NK,Other carriers,120.0,23827.0,19790.0,937.0
1,dep,MCO,UA,United,370.0,64700.0,53013.0,937.0
1,dep,MDT,TJ,Other carriers,1.0,8.0,1.0,141.0
1,dep,MDW,ZW,Other carriers,1.0,50.0,33.0,711.0
1,dep,MEM,DL,Other carriers,1.0,72.0,61.0,946.0
1,dep,MEM,FX,Other carriers,116.0,0.0,0.0,946.0
1,dep,MHT,G7,Other carriers,57.0,2850.0,1999.0,209.0
